budget	target	target_size	target_pooled_depth	dvaf	recovery	null_fire	feasible_frac	recovery_gated	null_fire_gated
0.08	Mye	1034	81.0	0.02	0.2	0.1	0.0		0.0
0.08	Mye	1034	81.0	0.05	0.7	0.3	0.0		0.0
0.08	Mye	1034	81.0	0.1	0.9	0.1	0.0		0.0
0.08	Mye	1034	81.0	0.2	1.0	0.0	0.0		0.0
0.08	Lym_P	411	35.0	0.005	0.2	0.1	0.0		0.0
0.08	Lym_P	411	35.0	0.01	0.1	0.0	0.0		0.0
0.08	Lym_P	411	35.0	0.02	0.2	0.0	0.0		0.0
0.08	Lym_P	411	35.0	0.05	0.6	0.0	0.0		0.0
0.08	Lym_P	411	35.0	0.1	1.0	0.2	0.0		0.0
0.08	Lym_P	411	35.0	0.2	1.0	0.0	0.0		0.0
0.13	Lym	5790	758.0	0.005	0.0	0.0	0.0		0.0
0.13	Lym	5790	758.0	0.01	0.0	0.0	0.0		0.0
0.13	Lym	5790	758.0	0.02	0.4	0.2	0.0		0.0
0.13	Lym	5790	758.0	0.05	1.0	0.0	0.0		0.0
0.13	Lym	5790	758.0	0.1	1.0	0.0	0.0		0.0
0.13	Lym	5790	758.0	0.2	1.0	0.0	0.0		0.0
0.13	Mye_P	1372	173.0	0.005	0.2	0.1	0.0		0.0
0.13	Mye_P	1372	173.0	0.01	0.4	0.2	0.0		0.0
0.13	Mye_P	1372	173.0	0.02	0.7	0.1	0.0		0.0
0.13	Mye_P	1372	173.0	0.05	1.0	0.0	0.0		0.0
0.13	Mye_P	1372	173.0	0.1	1.0	0.0	0.0		0.0
0.13	Mye_P	1372	173.0	0.2	1.0	0.1	0.0		0.0
0.13	Mye	1034	134.0	0.005	0.4	0.0	0.0		0.0
0.13	Mye	1034	134.0	0.01	0.1	0.1	0.0		0.0
0.13	Mye	1034	134.0	0.02	0.6	0.0	0.0		0.0
0.13	Mye	1034	134.0	0.05	0.9	0.0	0.0		0.0
0.13	Mye	1034	134.0	0.1	1.0	0.1	0.0		0.0
0.13	Mye	1034	134.0	0.2	1.0	0.1	0.0		0.0
0.13	Lym_P	411	57.0	0.005	0.0	0.0	0.0		0.0
0.13	Lym_P	411	57.0	0.01	0.1	0.1	0.0		0.0
0.13	Lym_P	411	57.0	0.02	0.1	0.2	0.0		0.0
0.13	Lym_P	411	57.0	0.05	0.7	0.0	0.0		0.0
0.13	Lym_P	411	57.0	0.1	1.0	0.0	0.0		0.0
0.13	Lym_P	411	57.0	0.2	1.0	0.0	0.0		0.0
0.2	Lym	5790	1199.0	0.005	0.0	0.0	0.0		0.0
0.2	Lym	5790	1199.0	0.01	0.0	0.0	0.0		0.0
0.2	Lym	5790	1199.0	0.02	0.6	0.0	0.0		0.0
0.2	Lym	5790	1199.0	0.05	1.0	0.0	0.1	1.0	0.0
0.2	Lym	5790	1199.0	0.1	1.0	0.2	0.1	1.0	0.0
0.2	Lym	5790	1199.0	0.2	1.0	0.0	0.1	1.0	0.0
0.2	Mye_P	1372	274.0	0.005	0.4	0.0	0.0		0.0
0.2	Mye_P	1372	274.0	0.01	0.4	0.0	0.0		0.0
0.2	Mye_P	1372	274.0	0.02	1.0	0.0	0.2	1.0	0.0
0.2	Mye_P	1372	274.0	0.05	1.0	0.1	0.2	1.0	0.0
0.2	Mye_P	1372	274.0	0.1	1.0	0.0	0.2	1.0	0.0
0.2	Mye_P	1372	274.0	0.2	1.0	0.0	0.3	1.0	0.0
0.2	Mye	1034	205.0	0.005	0.5	0.0	0.0		0.0
0.2	Mye	1034	205.0	0.01	0.5	0.0	0.0		0.0
0.2	Mye	1034	205.0	0.02	1.0	0.1	0.0		0.0
0.2	Mye	1034	205.0	0.05	1.0	0.1	0.0		0.0
0.2	Mye	1034	205.0	0.1	1.0	0.0	0.0		0.0
0.2	Mye	1034	205.0	0.2	1.0	0.0	0.0		0.0
0.2	Lym_P	411	81.0	0.005	0.1	0.0	0.0		0.0
0.2	Lym_P	411	81.0	0.01	0.3	0.1	0.0		0.0
0.2	Lym_P	411	81.0	0.02	0.5	0.1	0.2	0.5	0.0
0.2	Lym_P	411	81.0	0.05	0.9	0.0	0.2	0.5	0.0
0.2	Lym_P	411	81.0	0.1	0.9	0.0	0.2	1.0	0.0
0.2	Lym_P	411	81.0	0.2	1.0	0.0	0.2	1.0	0.0
0.3	Lym	5790	1807.0	0.005	0.0	0.2	0.0		0.0
0.3	Lym	5790	1807.0	0.01	0.2	0.1	0.0		0.0
0.3	Lym	5790	1807.0	0.02	1.0	0.1	0.8	1.0	0.125
0.3	Lym	5790	1807.0	0.05	1.0	0.1	0.9	1.0	0.0
0.3	Lym	5790	1807.0	0.1	1.0	0.0	1.0	1.0	0.0
0.3	Lym	5790	1807.0	0.2	1.0	0.1	0.9	1.0	0.1111111111111111
0.3	Mye_P	1372	409.0	0.005	0.2	0.0	0.0		0.0
0.3	Mye_P	1372	409.0	0.01	0.7	0.2	0.0		0.0
0.3	Mye_P	1372	409.0	0.02	0.9	0.0	0.9	0.8888888888888888	0.0
0.3	Mye_P	1372	409.0	0.05	1.0	0.0	0.9	1.0	0.0
0.3	Mye_P	1372	409.0	0.1	1.0	0.0	1.0	1.0	0.0
0.3	Mye_P	1372	409.0	0.2	1.0	0.0	0.9	1.0	0.0
0.3	Mye	1034	310.0	0.005	0.5	0.0	0.0		0.0
0.3	Mye	1034	310.0	0.01	0.7	0.0	0.0		0.0
0.3	Mye	1034	310.0	0.02	0.9	0.0	1.0	0.9	0.0
0.3	Mye	1034	310.0	0.05	1.0	0.0	1.0	1.0	0.0
0.3	Mye	1034	310.0	0.1	1.0	0.0	0.7	1.0	0.0
0.3	Mye	1034	310.0	0.2	1.0	0.0	1.0	1.0	0.0
0.3	Lym_P	411	124.0	0.005	0.2	0.1	0.0		0.0
0.3	Lym_P	411	124.0	0.01	0.2	0.0	0.0		0.0
0.3	Lym_P	411	124.0	0.02	0.5	0.0	0.9	0.5555555555555556	0.0
0.3	Lym_P	411	124.0	0.05	1.0	0.0	0.9	1.0	0.0
0.3	Lym_P	411	124.0	0.1	1.0	0.0	0.9	1.0	0.0
0.3	Lym_P	411	124.0	0.2	1.0	0.2	0.8	1.0	0.25
0.5	Lym	5790	2985.0	0.005	0.0	0.1	0.0		0.0
0.5	Lym	5790	2985.0	0.01	0.9	0.1	0.0		0.0
0.5	Lym	5790	2985.0	0.02	1.0	0.0	1.0	1.0	0.0
0.5	Lym	5790	2985.0	0.05	1.0	0.3	1.0	1.0	0.3
0.5	Lym	5790	2985.0	0.1	1.0	0.1	1.0	1.0	0.1
0.5	Lym	5790	2985.0	0.2	1.0	0.1	1.0	1.0	0.1
0.5	Mye_P	1372	677.0	0.005	0.6	0.0	0.0		0.0
0.5	Mye_P	1372	677.0	0.01	0.8	0.1	0.0		0.0
0.5	Mye_P	1372	677.0	0.02	1.0	0.1	1.0	1.0	0.1
0.5	Mye_P	1372	677.0	0.05	1.0	0.0	1.0	1.0	0.0
0.5	Mye_P	1372	677.0	0.1	1.0	0.0	1.0	1.0	0.0
0.5	Mye_P	1372	677.0	0.2	1.0	0.1	1.0	1.0	0.1
0.5	Mye	1034	514.0	0.005	0.7	0.2	0.0		0.0
0.5	Mye	1034	514.0	0.01	0.9	0.1	0.0		0.0
0.5	Mye	1034	514.0	0.02	1.0	0.0	1.0	1.0	0.0
0.5	Mye	1034	514.0	0.05	1.0	0.1	1.0	1.0	0.1
0.5	Mye	1034	514.0	0.1	1.0	0.1	1.0	1.0	0.1
0.5	Mye	1034	514.0	0.2	1.0	0.0	1.0	1.0	0.0
0.5	Lym_P	411	207.0	0.005	0.2	0.0	0.0		0.0
0.5	Lym_P	411	207.0	0.01	0.6	0.0	0.0		0.0
0.5	Lym_P	411	207.0	0.02	0.7	0.1	1.0	0.7	0.1
0.5	Lym_P	411	207.0	0.05	1.0	0.3	1.0	1.0	0.3
0.5	Lym_P	411	207.0	0.1	1.0	0.0	1.0	1.0	0.0
0.5	Lym_P	411	207.0	0.2	1.0	0.2	1.0	1.0	0.2
full	Lym	5790	80287.0	0.005	1.0	0.1	1.0	1.0	0.1
full	Lym	5790	80287.0	0.01	1.0	0.0	1.0	1.0	0.0
full	Lym	5790	80287.0	0.02	1.0	0.2	1.0	1.0	0.2
full	Lym	5790	80287.0	0.05	1.0	0.0	1.0	1.0	0.0
full	Lym	5790	80287.0	0.1	1.0	0.0	1.0	1.0	0.0
full	Lym	5790	80287.0	0.2	1.0	0.0	1.0	1.0	0.0
full	Mye_P	1372	39565.0	0.005	1.0	0.0	1.0	1.0	0.0
full	Mye_P	1372	39565.0	0.01	1.0	0.0	1.0	1.0	0.0
full	Mye_P	1372	39565.0	0.02	1.0	0.1	1.0	1.0	0.1
full	Mye_P	1372	39565.0	0.05	1.0	0.0	1.0	1.0	0.0
full	Mye_P	1372	39565.0	0.1	1.0	0.1	1.0	1.0	0.1
full	Mye_P	1372	39565.0	0.2	1.0	0.1	1.0	1.0	0.1
full	Mye	1034	23296.0	0.005	1.0	0.1	1.0	1.0	0.1
full	Mye	1034	23296.0	0.01	1.0	0.1	1.0	1.0	0.1
full	Mye	1034	23296.0	0.02	1.0	0.1	1.0	1.0	0.1
full	Mye	1034	23296.0	0.05	1.0	0.0	1.0	1.0	0.0
full	Mye	1034	23296.0	0.1	1.0	0.0	1.0	1.0	0.0
full	Mye	1034	23296.0	0.2	1.0	0.1	1.0	1.0	0.1
full	Lym_P	411	15403.0	0.005	1.0	0.0	1.0	1.0	0.0
full	Lym_P	411	15403.0	0.01	1.0	0.0	1.0	1.0	0.0
full	Lym_P	411	15403.0	0.02	1.0	0.0	1.0	1.0	0.0
full	Lym_P	411	15403.0	0.05	1.0	0.0	1.0	1.0	0.0
full	Lym_P	411	15403.0	0.1	1.0	0.1	1.0	1.0	0.1
full	Lym_P	411	15403.0	0.2	1.0	0.1	1.0	1.0	0.1
